स्त्रियो,स्त्री
सदस्यों,सदस्य
"५,२९३",५२९३
देखने,देख
बने,बन
कराते,करा
ढूंढ़ने,ढूंढ़
पीपुल्स,पीपुल
गर्मियों,गर्मी
होगा,हो
कहूंगा,कह
द्रविड़,द्रविड
मुठभेड़,मुठभेड
जनजातियों,जनजाति
कहने,कह
लाये,ला
अनियमितताओं,अनियमितता
कहते,कह
विचारों,विचार
चला,चल
निकाला,निकाल
किश्तों,किश्त
दर्शाती,दर्शा
होटलों,होटल
बंदिशें,बंदिश
लेंगे,ले
पौने,पौन
चुनावों,चुनाव
आते,आ
बांटा,बांट
दुकानदारों,दुकानदार
मछुआरों,मछुआर
मुस्लिमों,मुस्लिम
मुझसे,मैं
पूछे,पूछ
जोरों,जोर
बैठे,बैठ
खींचना,खींच
फिल्मों,फिल्म
कार्यो,कार्य
बिखरे,बिखर
सकेगा,सक
गाड़ियां,गाड़ी
बढ़ा,बढा
होंगी,हो
चैत्‍य,चैत्य
जुड़ने,जुड़
पशुओं,पशु
दीं,दे
जलकर,जल
बहा,बह
गेंदबाजों,गेंदबाज
जाए,जा
बढ़कर,बढ़
गुजरती,गुजर
आंकड़ों,आंकड़ा
जाना,जा
दंगों,दंगा
हमारी,हम
मशीनें,मशीन
डलवाने,डलवा
जेलकर्मियों,जेलकर्मी
मशीनों,मशीन
संघर्षो,संघर्ष
भागे,भाग
होंगे,हो
ठहराया,ठहरा
सौंपी,सौंप
सके,सक
नामों,नाम
सकते,सक
बंधा,बँध
गड़बड़ाए,गडबडा
खंडों,खंड
रखता,रख
दुर्भावनाओं,दुर्भावना
लगी,लग
ठहरे,ठहर
"70,000",70000
"३३,४८२",३३४८२
अत्‍यंत,अत्यंत
सिक्‍के,सिक्
निष्कर्षों,निष्कर्ष
दिलाएगा,दिला
लौटकर,लौट
परंपराओं,परंपरा
"5,000",5000
धातुएं,धातु
सुनी,सुन
पायी,पा
मचा,मच
खाड़ी,खाडी
यूनिटों,यूनिट
मिलूंगी,मिल
बनने,बन
तटों,तट
थानों,थाना
छिड़े,छिड
बांटे,बांट
भाषाएं,भाषा
अड़कर,अड़
छोड़ना,छोड़
हत्यारों,हत्यारा
विचारधाराओं,विचारधारा
करवाना,करवा
नतीजों,नतीजा
सभाएं,सभा
रखेगी,रख
नैय्या,नैया
मंडराने,मंडरा
निर्दलीयों,निर्दलीय
चलती,चल
हेलीकॉप्टर्स,हेलीकॉप्टर
सोते,सो
"७७,४५५",७७४५५
उभरती,उभर
मोटरसाइकिल्स,मोटरसाइकिल
उठेंगे,उठ
स्कीमों,स्कीम
जलता,जल
दबोचा,दबोच
लड़की,लडकी
लगते,लग
निबटाने,निबटा
वर्षीया,वर्षीय
खातों,खाता
आने,आ
खोजने,खोज
धरोहरों,धरोहर
बचाया,बचा
कीटनाशकों,कीटनाशक
स्‍थापित,स्थापित
पहुंचाया,पहुंचा
मैगज़ीन,मैगजीन
उभरेगी,उभर
छीनने,छीन
नौसैनिकों,नौसैनिक
खुला,खुल
दरवाज़ा,दरवाजा
प्‍याला,प्याला
छाया,छा
सुनाने,सुना
जगहों,जगह
पलड़ा,पलडा
गूंजने,गूंज
बचाकर,बचा
अंशों,अंश
योजनाओं,योजना
तकनीक़ी,तकनीकी
कद्दारों,कद्दार
लिफाफों,लिफाफा
छोड़ना,छोड
प्लेटफॉर्मो,प्लेटफॉर्म
रिश्तों,रिश्ता
रैलियों,रैली
खेले,खेल
क़रीबी,करीबी
नरकंकालों,नरकंकाल
जीतेंगीं,जीत
बिगड़नी,बिगड
जीतते,जीत
मतभेदों,मतभेद
चिल्लाती,चिल्ला
सकने,सक
गुफाएँ,गुफा
आएगी,आ
जुटाने,जुटा
लगाने,लगा
बढ़े,बढ
गुणों,गुण
लगे,लग
एग्ज़िबिशन,एग्जिबिशन
बंटेगा,बंट
स्‍पोर्टस,स्पोर्ट
चलेगा,चल
२५वीं,२५
दिखना,दिख
तुम्हारे,तुम
निकलता,निकल
पकाया,पका
गुज़रने,गुजर
बनवाने,बनवा
घटाने,घटा
जजों,जज
दर्श‍‍न,दर्श
जुटाना,जुटा
माफ़ी,माफी
चेताया,चेता
फोड़ा,फोड़
स्‍मृतियों,स्‍मृति
वैज्ञानिकों,वैज्ञानिक
अध्यापकों,अध्यापक
उलझने,उलझ
रसायनों,रसायन
सर्विसेज,सर्विस
जमी,जम
पकड़,पकड
सेवकों,सेवक
होड़,होड
छाई,छा
वायुयानों,वायुयान
युवतियां,युवती
निकली,निकल
रहूंगी,रह
चुकानी,चुका
स्टडीज़,स्टडी
बांछें,बांछ
अफ़ग़ानियों,अफ़ग़ानी
हारा,हार
भड़काया,भडक
अफसरों,अफसर
चाहता,चाह
सत्रों,सत्र
कमाने,कमा
सिखाया,सिखा
दिखाने,दिखा
जत्थेबंदियों,जत्थेबंदी
छतरियाँ,छतरी
निहारना,निहार
करवाए,करवा
थोड़ा,थोडा
पहुँचाई,पहुँचा
सौंपकर,सौंप
गवाने,गवा
सीखने,सीख
जमावड़ा,जमावडा
मंजिलें,मंजिला
क्लीनिकों,क्लीनिक
फूंककर,फूंक
काफ़ी,काफी
थमी,थम
फेंका,फेंक
बरपाना,बरपा
लगीं,लग
जटिलताओं,जटिलता
बजती,बज
आयकरदाताओं,आयकरदाता
घोषणाओं,घोषणा
करवाने,करवा
पुराणों,पुराण
आयुधों,आयुध
धमकियों,धमकी
राजाओं,राजा
ढलते,ढल
भोगने,भोग
चालकों,चालक
नगरों,नगर
विकलांगों,विकलांग
गिरफ्तारियां,गिरफ्तारी
नियुक्तियां,नियुक्ति
फिल्में,फिल्म
धड़े,धडे
चोटें,चोट
फेंके,फेंक
माँगने,माँग
कढ़ाई,कढाई
सुधरी,सुधर
उड़ाया,उडा
पन्नों,पन्ना
"८०,०००",८००००
गाँवों,गांव
लुटाने,लुटा
मनोवैज्ञानिकों,मनोवैज्ञानिक
प्रतियां,प्रति
भेजेगा,भेज
तुले,तुल
उलटपुलटकर,उलटपुलट
लड़कियाँ,लड़की
उठाता,उठा
इकाईयों,इकाई
डटे,डट
लाभों,लाभ
पहुंचेंगी,पहुंच
खिलाना,खिला
संवादाताओं,संवादाता
मंदिरों,मंदिर
ग्लोव्स,ग्लोव
प्रयासों,प्रयास
महासचिव,महसचिव
लौटे,लौट
बालाओं,बाला
तोड़ा,तोड़
दौड़ते,दौड़
पुरस्कारों,पुरस्कार
टिप्पणियों,टिप्पणी
व्यंजनों,व्यंजन
घरानों,घराना
उपासकों,उपासक
मनाया,मना
सदनों,सदन
जानकर,जान
रोको,रोक
पाकिस्तानियों,पाकिस्तानी
सुलझाया,सुलझा
बँटा,बँट
रमने,रम
लाए,ला
लगाइये,लगा
चेतावनियों,चेतावनी
बैठाया,बैठा
चाटनी,चाट
खदेड़ा,खदेड
बदशक्‍ल,बदशक्
मैंने,मै
काटकर,काट
राष्ट्रपतियों,राष्ट्रपति
डिजाइनरों,डिजाइनर
पहुँचने,पहुँच
मारा,मार
कृष्‍ण,कृष्ण
मोटरसाइकिलें,मोटरसाइकिल
अपनाए,अपना
काटे,काट
छात्राएं,छात्रा
टाला,टाल
मंगाए,मंगा
मिले,मिल
दबे,दब
बैण्ड,बैंड
शस्त्रों,शस्त्र
हिल्स,हिल
सिद्घांतों,सिद्घांत
उठाएगा,उठा
ज्यादतियों,ज्यादती
चलें,चल
बताता,बता
झगड़े,झगडा
छोड़कर,छोड़
हज़ारों,हजार
उठी,उठ
राजनीतिकों,राजनीतिक
बिगाड़,बिगाड
रमज़ान,रमजान
दृढ़ता,दृढता
अनुभवों,अनुभव
दिए,दे
टालने,टाल
कड़ी,कडा
बर्फ़,बर्फ
रिपोर्टो,रिपोर्ट
बांधा,बांध
समितियों,समिति
रेंजर्स,रेंजर
धमकाया,धमका
भिन्नताओं,भिन्नता
भड़के,भड़क
इरादों,इरादा
पत्रकारों,पत्रकार
आरोपियों,आरोपी
कार्यस्थलों,कार्यस्थल
अभ्यासों,अभ्यास
उम्मीदों,उम्मीद
जुड़ने,जुड
जड़ें,जड
कपड़ों,कपडा
बरता,बरत
बजाए,बजा
ढूँढ़,ढूँढ
केसों,केस
हेलीकॉप्टरों,हेलीकॉप्टर
छोड़ेंगे,छोड
कैडेट्स,कैडेट
वेंडरों,वेंडर
ज़रूरत,जरूरत
जानने,जान
रखी,रख
खिलाई,खिला
गाज़ियाबाद,गाजियाबाद
समारोहों,समारोह
डाले,डाल
हदों,हद
सफ़ल,सफल
बुजुर्गों,बुजुर्ग
रिकॉर्डों,रिकॉर्ड
मेरी,मैं
छोड़कर,छोड
बोतलों,बोतल
मानी,मान
बेटों,बेटा
दबाया,दबा
फैलना,फैल
आयवर्गवालों,आयवर्गवाला
छुट्टियाँ,छुट्टी
दबावों,दबाव
संस्थाओं,संस्था
गुज़ारा,गुजारा
खिंचवाए,खिँच
४.११,४.१
करनी,कर
लाता,ला
ब्रजवासियों,ब्रजवासी
जुटेंगे,जुट
धरे,धर
मेरे,मैं
बचती,बच
बैठकर,बैठ
अमीरों,अमीर
नापने,नाप
कहे,कह
बढ़ता,बढ
करुंगी,कर
छुपी,छुप
"6,500",6500
दवाओं,दवा
बिछाई,बिछा
अपनाते,अपना
घिरा,घिर
क़ामयाब,कामयाब
फैसलों,फैसला
कीमतें,कीमत
पहुंचाए,पहुंचा
लिखी,लिख
रखेंगे,रख
आज़ादी,आजादी
उठाते,उठा
नमाज़,नमाज
लड़ना,लड
प्रताड़ना,प्रताडना
फैले,फैल
विषयों,विषय
पकड़ती,पकड
जलाकर,जला
रोकने,रोक
जूझने,जूझ
करूंगा,कर
हुईं,हो
आयुक्तों,आयुक्त
कमांडरों,कमांडर
मुलाजिमों,मुलाजिम
क़दम,कदम
मिलाए,मिला
पट्टियां,पट्टी
बहकर,बह
लगानी,लगा
"१८,५८७",१८५८७
संपादकों,संपादक
युवकों,युवक
खोजी,खोज
कथाओं,कथा
जीतने,जीत
बनें,बन
सीज़न,सीजन
अमेरिकियों,अमेरिकी
भूलें,भूल
ट्रेडर्स,ट्रेडर
निर्दलियों,निर्दलिय
लहरों,लहर
झुकने,झुक
उड़ाकर,उड़ा
छिपाया,छिपा
कढ़ी,कढ
कंपनियां,कंपनी
प्रशंसकों,प्रशंसक
पहुंचाता,पहुंचा
बरपाया,बरपा
जिन्हें,जो
उबालकर,उबाल
ग्रामीणों,ग्रामीण
हटतीं,हट
छहों,छह
मारने,मार
रोज़,रोज
एजेंसिंयों,एजेंसी
पड़ोसी,पडोसी
बचना,बच
प्रश्नों,प्रश्न
अफगानिस्तानियों,अफगानिस्तानी
"७,४८०",७
प्रायोजकों,प्रायोजक
बोगियां,बोगी
बदलता,बदल
नावों,नाव
रहे,रह
रूका,रूक
देखकर,देख
सरकारों,सरकार
पड़े,पड
अच्‍छी,अच्छा
उठेगा,उठ
डूबते,डूब
आजमाना,आजमा
गुंडों,गुंडा
गायकों,गायक
शताब्‍दी,शताब्दी
वामपंथियों,वामपंथी
धूलकणों,धूलकण
ढ़ाई,ढाई
टकराने,टकरा
रोकना,रोक
बस्तियां,बस्ती
समझकर,समझ
क़ीमतों,कीमत
गाड़ियाँ,गाड़ी
विषाणुओं,विषाणु
सिखाने,सिखा
पीने,पी
प्रशासकों,प्रशासक
बयानों,बयान
दोस्तों,दोस्त
सुअरों,सुअर
देतीं,दे
अलगाववादियों,अलगाववादी
खगोलशास्त्रियों,खगोलशास्त्री
पुकारा,पुकार
जलाए,जला
तोपों,तोप
उजड़ा,उजडा
जाएंगें,जा
एजेंसियां,एजेंसी
फंसी,फँस
झड़प,झडप
जगाने,जगा
बहादुरों,बहादुर
करा,कर
बनवाकर,बनवा
मानें,मान
आदिवासियों,आदिवासी
जनआंदोलनों,जनआंदोलन
बढाई,बढा
जानकारियों,जानकारी
अंडों,अंडा
चयनकर्ताओं,चयनकर्ता
गोलियां,गोली
सका,सक
क़ाफ़ी,काफी
मिलों,मिल
डालते,डाल
कट्टरपंथियों,कट्टरपंथी
पीटकर,पीट
सलाखों,सलाख
चलाई,चला
आँकड़ा,आँकडा
बदलती,बदल
मंगवाकर,मंगवा
हुई,हो
इंतजामों,इंतजाम
सिखाना,सिखा
सुधरते,सुधर
घटते,घट
चुने,चुन
कराती,करा
बढा,बढ
क्षेत्रों,क्षेत्र
पहनकर,पहन
बी.,बी
राइट्स,राइट
टेलीफ़ोन,टेलीफोन
लाइनें,लाइन
हफ़्ते,हफ्ता
सीमाएं,सीमा
मिलेगा,मिल
कलाकृतियाँ,कलाकृति
सुईयों,सुई
बिगड़ता,बिगड
भरे,भर
निकलते,निकल
नीतियों,नीति
झुठलाने,झुठला
आइए,आ
पहुंचे,पहुंच
दफ्तरों,दफ्तर
कलाप्रेमियों,कलाप्रेमी
खिलाया,खिला
गुस्साए,गुस्सा
अर्थव्यवस्थाओं,अर्थव्यवस्था
गोदामों,गोदाम
कराएगें,करा
दबाएंगे,दबा
हथियाना,हथिया
पोस्टरों,पोस्टर
कोशिशों,कोशिश
जताते,जता
ग़रीबों,गरीब
मनचलों,मनचला
जुड़ी,जुड
चलाईं,चला
पीड़ा,पीडा
मंत्रोच्चारों,मंत्रोच्चार
बजाकर,बजा
समापन्न,समापन
उबरने,उबर
चलाता,चला
दिलाने,दिला
कविताएं,कविता
जाँचकर्ताओं,जाँचकर्ता
गुत्थियां,गुत्थी
खोलेगा,खोल
"आईजी,",आईजी
परियोजनाएं,परियोजना
श्रेयस्‍कर,श्रेयस्
इराकियों,इराकी
तत्वों,तत्व
मिलकर,मिल
पत्थरों,पत्थर
"२,०००",२०००
कसने,कस
खामियों,खामी
बोर्डो,बोर्ड
छूटे,छूट
सौदों,सौदा
बरती,बरत
मोड़,मोड
फूले,फूल
पाना,पा
विवादों,विवाद
सजाया,सजा
उभरे,उभर
बंधुओं,बंधु
जुटाए,जुटा
कॉलेजेस,कॉलेज
करवाई,करवा
तथ्यों,तथ्य
डॉक्टरों,डॉक्टर
बरतते,बरत
आंकडों,आंकड
निवेशकों,निवेशक
पढ़ाए,पढ़ा
स्वयंसेवियों,स्वयंसेवी
करवाएंगे,कर
जाइए,जा
प्रतिमाएं,प्रतिमा
पटरियाँ,पटरी
हस्तियों,हस्ती
अपनानी,अपना
खरीदने,खरीद
रहेगी,रह
विद्यालयों,विद्यालय
सरकारें,सरकार
निवेदकों,निवेदक
पड़ेगा,पड़
फिसलकर,फिसल
खोले,खोल
बनाने,बना
माने,मान
परेशानियां,परेशानी
छंटने,छंट
भुगतानों,भुगतान
चलो,चल
थपथपाते,थपथपा
एजेंसियों,एजेंसी
स्तम्भ,स्तंभ
स्थानों,स्थान
निगमों,निगम
मंगवाए,मंगवा
ज़माने,जमाना
लाते,ला
निष्कर्षो,निष्कर्ष
पछाड़ते,पछाड
गुत्थियों,गुत्थी
गुजरे,गुजर
खेमें,खेमा
दिग्गजों,दिग्गज
पकड़ने,पकड
कड़ा,कडा
घुमाने,घुमा
पौधों,पौधा
जताना,जता
आंदोलनकारियों,आंदोलनकारी
जायेंगे,जा
पहाड़ी,पहाडी
दर्शनार्थियों,दर्शनार्थी
बिठाने,बिठा
शिविरों,शिविर
शहीदों,शहीद
दुबके,दुबक
गुफाओं,गुफा
हड़बड़ी,हडबडी
ऑपरेटरों,ऑपरेटर
तस्वीरें,तस्वीर
भटकते,भटक
मिलेगी,मिल
राइड्स,राइड
दबाते,दबा
काटा,काट
ओढ़कर,ओढ
गंवाए,गंवा
कंपनियों,कंपनी
मासूमों,मासूम
रचने,रच
जिन्होंने,जो
लपेटे,लपेट
रोज़गार,रोजगार
चुकाए,चुका
मेरा,मैं
बसे,बस
हारकर,हार
देते,दे
कोशिशें,कोशिश
दुकानें,दुकान
खुलेंगी,खुल
उतारेंगे,उतार
धारकों,धारक
बाउंडरीज,बाउंडरी
लटकती,लटक
लहराएगा,लहरा
उभरा,उभर
संशोधनों,संशोधन
अटे,अट
मिलते,मिल
दिलाना,दिला
र्बैकों,र्बैक
दोषियों,दोषी
मुश्किलें,मुश्किल
नज़दीकी,नजदीकी
रजिस्ट्रार्स,रजिस्ट्रार
चारों,चार
छिपा,छिप
घड़ी,घडी
ललकारा,ललकार
पदार्थो,पदार्थ
जोड़ा,जोड
पुत्रों,पुत्र
छतों,छत
जानी,जा
स्कूटर्स,स्कूटर
जोड़कर,जोड़
अपराधियों,अपराधी
सकतीं,सक
छटते,छट
छायाकारों,छायाकार
बाध्यताओं,बाध्यता
मजदूरों,मजदूर
चाही,चाह
ज़ख्मी,जख्मी
मकानों,मकान
दिलवाया,दिलवा
उद्देश्यों,उद्देश्य
घुसी,घुस
बैठाने,बैठा
पहुँचाने,पहुँच
पहुंचाने,पहुंच
विसंगतियाँ,विसंगती
सुलझाने,सुलाझा
उड़ीसा,उडीसा
रहो,रह
दिलों,दिल
रहस्यों,रहस्य
आनी,आ
चीनियों,चीनी
किसानों,किसान
छुड़ाने,छुडा
सुर्खियों,सुर्खी
परिसरों,परिसर
कारीगरों,कारीगर
झेलना,झेल
खींचने,खींच
मंसूबों,मंसूबा
घरों,घर
ख़ुफ़िया,खुफिया
सेवाएं,सेवा
वस्तुएं,वस्तु
रुके,रुक
जगहें,जगह
चढ़ाने,चढ़ा
परिधानों,परिधान
माताएं,माता
आलोचनाओं,आलोचना
वायुसैनिकों,वायुसैनिक
करवाता,करवा
डटकर,डट
माना,मान
हथौड़े,हथौडा
जेहादियों,जेहादी
सुधारते,सुधार
थमाकर,थमा
साधा,साध
विशिष्‍ट,विशिष्ट
मुल्कों,मुल्क
क्यू.,क्यू
गंवाई,गंवा
हटाते,हटा
एकमात्र,एक
फंसे,फँस
चलाकर,चला
मक़सद,मकसद
बुद्धिजीवियों,बुद्धिजीवी
दिखाया,दिखा
बनानी,बना
नन्हीं,नन्हा
संगीतकारों,संगीतकार
दावेदारों,दावेदार
बसों,बस
उपक्रमों,उपक्रम
बिठाया,बिठा
निदेशकों,निदेशक
करते,कर
डेज,डे
भांपना,भांप
जेलों,जेल
ब्रांडों,ब्रांड
दिये,दे
मांगने,मांग
ज़हरखुरानों,ज़हरखुरान
झोंकों,झोंका
थोड़े,थोडा
जानकारों,जानकार
प्रतिमाएँ,प्रतिमा
पढ़ाया,पढा
बेरोजगारों,बेरोजगार
बड़ों,बड़ा
मान्‍यता,मान्यता
छिला,छिल
कराऊंगा,करा
ग्रुपों,ग्रुप
दें,दे
गतिविधियाँ,गतिविधि
मंडराते,मंडरा
बिगड़ने,बिगड
बिजलीघरों,बिजलीघर
लड़कियों,लड़की
यात्राओं,यात्रा
अनुयायियों,अनुयायी
धर्मान्तरण,धर्मांतरण
बंधने,बँध
संवादों,संवाद
चंद्रमाओं,चंद्रमा
लड़,लड
सरकाया,सरका
बनेगी,बन
वर्क्‍स,वर्क
मूर्तियां,मूर्ति
सिफारिशें,सिफारिश
दृढ़,दृढ
निकला,निकल
हिलते,हिल
भेजी,भेज
समझती,समझ
प्रत्याशियों,प्रत्याशी
विमानों,विमान
तोड़कर,तोड
ठहरना,ठहर
करती,कर
जोड़ा,जोड़
नमूनों,नमूना
जुड़े,जुड
मनवाते,मनवा
पडेगा,पड
विधानमंडलों,विधानमंडल
जाएं,जा
छपे,छप
करोड़ों,करोड़
कराने,करा
दुखों,दुख
लगाएंगे,लगा
शवों,शव
छिड़ककर,छिड़क
कराएगी,करा
पाये,पा
कराए,करा
घाटों,घाट
हिला,हिल
ज़रूरी,जरूरी
नकारने,नकार
मनाएंगे,मना
स्मारकों,स्मारक
पाएंगी,पा
संयंत्रों,संयंत्र
मनाएगी,मना
सहयोगियों,सहयोगी
हाज़ी,हाजी
घूमने,घूम
घंटियां,घंटी
कराने,कर
कुरेदने,कुरेद
मगरमच्छों,मगरमच्छ
पड़ी,पड़
निपटा,निपट
माँगी,माँग
कथाएँ,कथा
महिलाएं,महिला
रंगों,रंग
बैठती,बैठ
पहुंचेंगे,पहुंच
ढ़ाँचे,ढाँचा
बतायी,बता
विद्रोहियों,विद्रोही
आर्चेस,आर्च
बढ़ेगी,बढ़
अर्जियां,अर्जी
लिये,ले
कॉलों,कॉल
संजोए,संजो
गैसें,गैस
भड़की,भड़क
हवेलियों,हवेली
सबसे,सब
कानूनविदों,कानूनविद
पीड़ित,पीडित
जिसकी,जो
पदार्थों,पदार्थ
निपटाएं,निपटा
घोषणाएँ,घोषणा
खेली,खेल
करके,कर
आंखों,आंख
सारे,सब
अरबों,अरब
छुपे,छुप
ढके,ढक
सौंपे,सौंप
राजघरानों,राजघराना
करतूतों,करतूत
चहकते,चहक
जिनका,जो
गरमपंथियों,गरमपंथी
हों,हो
रहूँगा,रह
हटेंगे,हट
बढ़ाना,बढ़ा
बिल्डिंगों,बिल्डिंग
बड़ा,बडा
युवतियाँ,युवती
किंकर्तव्यविमूढ़,किंकर्तव्यविमूढ
दिखते,दिख
डालने,डाल
पहना,पहन
लौटें,लौट
रूकने,रूक
घोड़ों,घोड़ा
लगाए,लगा
घेरा,घेर
गिरती,गिर
दिहाड़ीदारों,दिहाड़ीदार
वासियों,वासी
संपत्तियों,संपत्ती
सुखाने,सुखा
हिंदूवादियों,हिंदूवादी
भगदड़,भगदड
घटाए,घटा
रुपयों,रुपया
ठहरा,ठहर
सभी,से
गतिविधियों,गतिविधि
नहाए,नहा
वोटरों,वोटर
लपका,लपक
पहुँचें,पहुँच
अवश्‍य,अवश्य
विज्ञापनों,विज्ञापन
उम्मीदवारों,उम्मीदवार
दुर्घटनाओं,दुर्घटना
कसी,कस
तोहफों,तोहफा
हथियाने,हथिया
दर्शाता,दर्शा
समझते,समझ
पहाड़,पहाड
मेजबानों,मेजबान
थामे,थाम
"१४,६३६",१४६३६
जुटाकर,जुटा
कारसेवकों,कारसेवक
जहाज़,जहाज
उद्घधाटन,उद्घाटन
महानगरों,महानगर
चरणों,चरण
परोसी,परोस
जिसने,जो
अजूबों,अजूबा
रखनी,रख
दलीलें,दलील
बताएं,बता
दौरों,दौर
बल्लेबाजों,बल्लेबाज
हमलावरों,हमलावर
छिड़ेगा,छिड
यादों,याद
कार्यकलापों,कार्यकलाप
छलकाए,छलका
मंज़ूरी,मंजूरी
मनाएं,मना
बरसा,बरस
उवर्रकों,उवर्रक
कबूतरों,कबूतर
मनाकर,मना
लेना,ले
लाकर,ला
जानती,जान
पूर्ववर्ती,पूर्ववती
पिछड़ों,पिछड़ा
ठहराती,ठहरा
मुसीबतों,मुसीबत
नंबरों,नंबर
मैचों,मैच
चाहा,चाह
उपजी,उपज
रेलों,रेल
खींचा,खींच
जिताने,जिता
"२,६००",२६००
पड़ा,पड
भरकर,भर
घुसने,घुस
दिलाते,दिला
एतराज़,एतराज
पड़ती,पड
सम्बोधित,संबोधित
पढ़ना,पढ
दूसरों,दूसरा
एसोसिएशंस,एसोसिएशन
आती,आ
किया,कर
ठहरें,ठहर
स्‍थान,स्थान
आंकी,आंक
कलाकारों,कलाकार
निभा,निभ
दफनाए,दफना
उठाना,उठा
बुना,बुन
त्यौहारों,त्योहार
रटाई,रटा
ठुकराए,ठुकरा
भांजकर,भांज
सर्विसेज़,सर्विस
लौटने,लौट
भेजने,भेज
शक्तिपीठों,शक्तिपीठ
खोलना,खोल
शिकायतें,शिकायत
उठाया,उठा
बचाए,बचा
चीफ़,चीफ
रहेगा,रह
सरकते,सरक
संकेतों,संकेत
धांधलियां,धांधली
इन्हीं,इन
सड़क,सडक
गुटों,गुट
चित्रों,चित्र
याचियों,याची
ज़ब्ती,जब्ती
छपीं,छप
बजाने,बजा
बुलाएं,बुला
महिलाओं,महिला
मरने,मर
नहाने,नहा
दादासाहेब,दादासेहब
पहुँची,पहुंच
बनाता,बना
विधान-सभा,विधानसभा
मैंने,मैं
उठने,उठ
गूँजा,गूँज
देवताओं,देवता
गार्डो,गार्ड
बड़े,बडा
नौकरियां,नौकरी
पलटकर,पलट
उलटा,उलट
टालते,टाल
हिफाज़त,हिफाजत
रियायतें,रियायत
कयासों,कयास
करवाया,करवा
कहेगी,कह
फटने,फट
ऊंचाइयों,ऊंचाई
वादियाँ,वादी
उड़ाने,उडान
गोष्ठियों,गोष्ठी
बाड़ी,बाडी
स्तूपों,स्तूप
"१४,०५३",१४०५३
डराने,डरा
शहरों,शहर
पंचायतों,पंचायत
सड़कों,सडक
जमाकर,जमा
कुबूलने,कुबूल
तरफ़,तरफ
लड़के,लडका
लूटी,लूट
तैयारियों,तैयारी
होगीं,हो
ज्‍योतिशिला,ज्योतिशिला
पहुंचाई,पहुंचा
खुलवाकर,खुल
चुनेंगे,चुन
रैलियां,रैली
निर्धारकों,निर्धारक
कैटरर्स,कैटरर
लिहाज़ा,लिहाजा
मुक़ाबले,मुकाबला
गुरूद्वारों,गुरूद्वारा
खड़ा,खडा
बांटने,बांट
ऋणों,ऋण
जमना,जम
फ़ायदा,फायदा
जोड़ने,जोड
प्रार्थनाएं,प्रार्थना
लगाना,लगा
आशंकाओं,आशंका
सम्मेलनों,सम्मेलन
देती,दे
समझौतों,समझौता
नोटों,नोट
कहीं,कह
सूरतवासियों,सूरतवासी
मठाधीशों,मठाधीश
चलाए,चला
सुलझाई,सुलझा
सालों,साला
दशकों,दशक
समझाना,समझा
करीबियों,करीबी
समझी,समझ
पद्धतियों,पद्धति
लोगो,लोग
बढ़ें,बढ़
भवनों,भवन
अखबारों,अखबार
पन्द्रह,पंद्रह
इमारतें,इमारत
पहुँची,पहुँच
पहाड़ियों,पहाडी
चलाया,चला
सोचकर,सोच
करों,कर
उकेरी,उकेर
बनाएगा,बना
गुजरेंगे,गुजर
लगने,लग
सुनाते,सुना
सर्किलों,सर्किल
अपवादों,अपवाद
तस्वीरों,तस्वीर
"३२०,०००",३२००००
धर्मस्थलों,धर्मस्थल
जलाया,जला
बढ़ाने,बढा
बताईं,बता
बचाओ,बचा
घुसते,घुस
खुली,खुल
लाशें,लाश
चम्पा,चंपा
पिछड़ी,पिछड
लाइटों,लाइट
गांववालों,गांववाला
ज़रूर,जरूर
तख्तियों,तख्ती
करोड़ो,करोड़
भिजवाए,भिजवा
काफ़िले,काफिला
हिंदुओं,हिंदू
ढूंढ़ते,ढूंढ़
फैला,फैल
बचें,बच
धरोहरें,धरोहर
ज़रूरतों,ज़रूरत
सुरक्षागार्डों,सुरक्षागार्ड
रखना,रख
केन्द्र,केंद्र
"९३,३६९",९३३६९
प्रस्तावों,प्रस्ताव
डिस्ट्रीब्यूटरों,डिस्ट्रीब्यूटर
करोड़पति,करोडपति
कार्यालयों,कार्यालय
होता,हो
विज्ञानियों,विज्ञानी
सितम्बर,सितंबर
देगी,दे
लगेगी,लग
सुझावों,सुझाव
बर्नरों,बर्नर
विद्वानों,विद्वान
सेनाओं,सेना
पत्तियों,पत्ती
कहतीं,कह
तर्कों,तर्क
संपत्तियों,संपत्ति
जुलता,जुल
वादों,वादा
बैठा,बैठ
शिक्षकों,शिक्षक
दबोचते,दबोच
पहुंचनी,पहुंच
कॉलेजों,कॉलेज
मचे,मच
सस्‍ता,सस्ता
मोटरसाइकिलों,मोटरसाइकिल
बंटाने,बंटा
गिरने,गिर
गिरफ्तारियों,गिरफ्तारी
वलयों,वलय
इस्तीफ़ा,इस्तीफा
प्राथमिकताओं,प्राथमिकता
जाएगें,जा
राजनायिकों,राजनायिक
क्लस्टरिंग,कलस्टरिंग
दर्शनों,दर्शन
जाएगा,जा
दूंगी,दे
डालेंगे,डाल
खटखटाना,खटखटा
चेतना,चेत
"१०,०००",१००००
निकाली,निकाल
मिलाएगा,मिला
मंगवाया,मंगवा
सड़कों,सड़क
नम्बर,नंबर
हिचकते,हिचक
करता,कर
मार्गों,मार्ग
निखरी,निखर
स्कूलों,स्कूल
खेलों,खेल
घायलों,घायल
मुस्लिम,मजबूत
दागे,दाग
फ़रार,फरार
