स्त्रियो,स्त्री
बदलेगी,बदल
सेनाओं,सेना
"७७,०००",७७०००
रहेगा,रह
हुआ,हो
करेगी,कर
डिज़ाइन,डिजाइन
ट्रेडर्स,ट्रेडर
उपभोक्ताओं,उपभोक्ता
मारने,मार
तलाशने,तलाश
लिखने,लिख
बिछाई,बिछा
लक्ष्यों,लक्ष्य
भरे,भर
दिखाई,दिख
करके,कर
लटके,लटक
रची,रच
सड़कें,सड़क
होते,हो
गुजरती,गुजर
खुले,खुल
चर्चों,चर्च
सभी,सब
बढ़कर,बढ़
बचे,बच
थोड़ा,थोडा
पूछा,पूछ
भस्‍म,भस्म
आवश्यकताओं,आवश्यकता
फसलें,फसल
निभाते,निभा
कराते,करा
आंकड़ों,आंकड़ा
मुझसे,मैं
धर्मावलंबियों,धर्मावलंबी
जेलकर्मियों,जेलकर्मी
भंडाफोड़,भंडाफोड
कार्यकर्ताओं,कार्यकर्ता
ऑडिटरों,ऑडिटर
ग्राहकों,ग्राहक
कंपनियों,कंपनी
जानी,जा
दिखाता,दिखा
मची,मच
मज़हबी,मजहबी
अंगों,अंग
बताया,बता
खोलने,खोल
टूटकर,टूट
निदेशकों,निदेशक
लगता,लग
महिलाओं,महिला
लगेगा,लग
सड़कों,सडक
"70,000",70000
अभियानों,अभियान
समझा,समझ
समेटे,समेट
लड़ाई,लडाई
जुड़ने,जुड़
सदस्यों,सदस्य
पदार्थो,पदार्थ
निकलीं,निकल
चाहा,चाह
दिलाएगा,दिला
मिलना,मिल
निर्यातकों,निर्यातक
अत्‍यंत,अत्यंत
पहुँचेगा,पहुँच
स्थानों,स्थान
भेजा,भेज
परिसंपत्तियों,परिसंपत्ति
बिखेरकर,बिखेर
खिलाड़ियों,खिलाडी
सुझाए,सुझा
संभावनाएं,संभावना
चलेगी,चल
चाहता,चाह
प्रयासों,प्रयास
देना,दे
प्रतिनिधियों,प्रतिनिधि
सड़कें,सडक
रहती,रह
समानताएं,समानता
डालते,डाल
विकल्पों,विकल्प
तथ्यों,तथ्य
हमलावरों,हमलावर
मिलाकर,मिला
रिपोर्टों,रिपोर्ट
गर्मियों,गर्मी
राइफलें,राइफल
मिलेगी,मिल
चयनकर्ताओं,चयनकर्ता
बूंदों,बूंद
हटाने,हटा
चाहेंगे,चाह
रखने,रख
दिलाई,दिला
चाहती,चाह
मंचों,मंच
पाया,पा
आकर,आ
विद्रोहियों,विद्रोही
लड़ने,लड़
मिलीं,मिल
मुद्दों,मुद्दा
बचाया,बचा
नीतियों,नीति
पड़ेगी,पड़
संवाददाताओं,संवाददाता
टूटने,टूट
उठाए,उठा
देखकर,देख
अपनाने,अपना
कराई,करा
"२७,८२८९९",२७८२८९९
सौंपी,सौंप
स्‍थापत्‍य,स्थापत्य
दुष्परिणामों,दुष्परिणाम
बातों,बात
युवतियाँ,युवती
गाइडों,गाइड
समझाने,समझा
राजाओं,राजा
आदेशों,आदेश
दबोचा,दबोच
मान्यताओं,मान्यता
बनाया,बना
चलाएंगे,चला
सुने,सुन
खानों,खाना
लाइंस,लाइन
पुरस्कारों,पुरस्कार
कार्यालयों,कार्यालय
मामलों,मामला
अप्लाइंसेज़,अप्लाइंस
फ़र्जी,फर्जी
एयरवेज,एयरवे
तस्वीरों,तसवीर
गोरखाओं,गोरखा
मशीनों,मशीन
मगरमच्छों,मगरमच्छ
पहाड़ियां,पहाड़ी
भांपते,भांप
अक़बर,अकबर
रहीँ,रह
विधानमंडलों,विधानमंडल
पशुओं,पशु
लेकर,ले
ट्रस्टों,ट्रस्ट
लौटें,लौट
श्रमिकों,श्रमिक
वयस्कों,वयस्क
जुलूसों,जुलूस
पाए,पा
देंगे,दे
शवों,शव
गिनाते,गिना
मनाकर,मना
एजेंडों,एजेंडा
हादसों,हादसा
हिफाज़त,हिफाजत
रिकार्डों,रिकार्ड
दागने,दाग
पंडितों,पंडित
बांधकर,बांध
पिलायी,पिला
अज़ीज़,अजीज
भड़की,भड़क
टटोलकर,टटोल
जुटाने,जुटा
वर्षीया,वर्षीय
गोलियों,गोली
होनेवाली,हो
सुईयों,सुई
गोष्ठियों,गोष्ठी
करोंड़ों,करोंड़
शख़्स,शख्स
फैलना,फैल
लाइटों,लाइट
लुभाता,लुभा
यूनिटों,यूनिट
सोचिये,सोच
गोदामों,गोदाम
कहना,कह
कैसेटों,कैसेट
बनने,बन
करोड़पति,करोडपति
जाए,जा
मढ़ने,मढ
गतिविधियां,गतिविधि
कटने,कट
मुलाक़ात,मुलाकात
प्रभावितों,प्रभावित
पर्यवेक्षकों,पर्यवेक्षक
छतों,छत
"७७,४५५",७७४५५
सर्दियों,सर्दी
खबरें,खबर
ढूँढ़े,ढूँढ
नामों,नाम
बाछें,बाछ
दर्शकों,दर्शक
कतराता,कतरा
उड़ानें,उड़ान
निखरी,निखर
फूंककर,फूंक
पायलेटों,पायलेट
रचने,रच
नहलाया,नहला
पनडुब्बियों,पनडुब्बी
पाते,पा
पहुंचेगी,पहुंच
निकली,निकल
चिंताएं,चिंता
वस्तुएँ,वस्तु
परिवारों,परिवार
रेलगाड़ियों,रेलगाड़ी
चुका,चुक
परिणामों,परिणाम
बनीं,बन
करते,कर
विभागों,विभाग
सौभाग्‍य,सौभाग्
बढ़ेगी,बढ
निपटाने,निपटा
कारीगरों,कारीगर
कतारें,कतार
खदेड़ने,खदेड
चलाए,चला
नामंज़ूर,नामंजूर
"40,490",40490
"११,४५८",११४५८
आज़ाद,आजाद
बिताना,बिता
किसके,कौन
बलों,बल
विश्वविद्यालयों,विश्वविद्यालय
उतारे,उतार
अपनाता,अपना
सिद्धांतों,सिद्धांत
लिखवाई,लिख
निकालकर,निकाल
चाहे,चाह
उठाई,उठा
तहसीलों,तहसील
दरवाज़ा,दरवाजा
आयोगों,आयोग
जोड़,जोड
"8,000",8000
गुजरने,गुजर
गड़बड़,गडबड
जमकर,जम
मंदिरों,मंदिर
रगड़,रगड
लिखकर,लिख
वीनने,वीन
ठहरें,ठहर
शिकारों,शिकारा
खोलेगा,खोल
रखे,रख
छुआ,छू
गिराए,गिरा
वोटों,वोट
सुझाने,सुझा
सुरंगें,सुरंग
अराजकताओं,अराजकता
बदलते,बदल
कहलाता,कहला
सेवकों,सेवक
मोहल्‍ला,मोहल्ला
"20,000",20000
पहाड़ी,पहाड़
बोले,बोल
मठों,मठ
थपथपाकर,थपथपा
बयानों,बयान
संस्कारों,संस्कार
क़ानून,कानून
बिखरे,बिखर
औपचारिकताएँ,औपचारिकता
गुरूद्वारों,गुरूद्वारा
पड़े,पड
गिरी,गिर
समझो,समझ
मिलती,मिल
संभालने,संभाल
रेलों,रेल
क़रीब,करीब
टेका,टेक
उपकेंद्रों,उपकेंद्र
"३,२३,५६३",३२३५६३
रोज़,रोज
पाएगी,पा
जीतेंगीं,जीत
सर्विसेज़,सर्विस
बरतना,बरत
फिसलने,फिसल
दिक्कतें,दिक्कत
हफ़्तों,हफ्ता
मुकदमें,मुकदमा
कॉलों,कॉल
चौकियाँ,चौकी
सीढियाँ,सीढी
खरीदना,खरीद
चौंका,चौंक
प्रवृत्तियों,प्रवृत्ति
एजेंसियां,एजेंसी
हस्तियां,हस्ती
२५वीं,२५
पहुँचाएं,पहुँचा
चलाने,चला
मुस्लिम,मजबूत
दूरियाँ,दूरी
कहने,कह
डालेगा,डाला
द्रविड़,द्रविड
झाड़ने,झाड़
त्यौहारों,त्योहार
उठाने,उठा
खोली,खोल
जुटेंगे,जुट
विधायकों,विधायक
बाशिंदों,बाशिंदा
जुटी,जुट
वसूलने,वसूल
देवताओं,देवता
डलवाने,डलवा
मसलों,मसला
पत्थरों,पत्थर
खटकती,खटक
मुताबिक़,मुताबिक
रजिस्ट्रार्स,रजिस्ट्रार
हटाकर,हटा
पलटकर,पलट
बहना,बह
घटी,घट
पहुंचनी,पहुंच
साज़िश,साजिश
फूलों,फूल
हितों,हित
नाक़ाम,नाकाम
घूमने,घूम
एयरलाइंस,एयरलाइन
बनवाई,बन
सिटीजंस,सिटीजन
मांगों,मांग
निभानी,निभा
उम्मीदवारों,उम्मीदवार
रोके,रोक
चिंगारियां,चिंगारी
फ्लैटों,फ्लैट
लौटकर,लौट
रोककर,रोक
औपचारिकताएं,औपचारिकता
सवर्णों,सवर्ण
निपटा,निपट
नमूनों,नमूना
गोलों,गोला
बनवाए,बनवा
महासचिवों,महासचिव
कागजों,कागज
कढ़ी,कढ
मोहल्लों,मोहल्ला
उठाएगी,उठा
कल्पनाओँ,कल्पना
बाक़ी,बाकी
बढ़ाना,बढ़ा
डटे,डट
भाषाएं,भाषा
आँकी,आँक
कोष्ठकों,कोष्ठक
नज़दीकी,नजदीकी
रुकवाने,रुकवा
सौपा,सौप
फोटोग्राफरों,फोटोग्राफर
सजाएंगे,सजा
तोहफों,तोहफा
रास्तों,रास्ता
पूर्वजों,पूर्वज
साहिबानों,साहिबान
जिलाध्यक्षों,जिलाध्यक्ष
चित्रों,चित्र
जतायी,जता
खेलों,खेल
लूटे,लूट
घटाने,घटा
लगाने,लगा
"१००,०००",१०००००
साइंसेस,साइंस
पिलाती,पिला
खरीदकर,खरीद
करों,कर
नवम्बर,नवंबर
दें,दे
फर्नांडिज,फनॅडिस
सौंपना,सौंप
सोचते,सोच
समाया,समा
लुत्‍फ,लुत्फ
राजनायिकों,राजनायिक
हज़ारों,हजार
रहता,रह
कीचड़,कीचड
छापों,छापा
बदशक्‍ल,बदशक्
इराकियों,इराकी
परिवारवालों,परिवारवाला
पहनीं,पहन
खाने,खा
पड़ेगा,पड़
चुकानी,चुका
राइफल्स,राइफल
करवाया,करवा
कराने,कर
शिकायतें,शिकायत
क़ामयाब,कामयाब
रदों,रदा
बनें,बन
जलती,जल
सुरक्षाकर्मियों,सुरक्षाकर्मी
पढ़ने,पढ़
पूछना,पूछ
बेरोजगारों,बेरोजगार
मार्गों,मार्ग
आजमाना,आजमा
दाखिलों,दाखिला
सिफारिशों,सिफारिश
खींचती,खींच
अफवाहों,अफवाह
खोते,खो
भेजकर,भेज
लेंगे,ले
जंगलों,जंगल
गरमाया,गरमा
होनी,हो
अपेक्षाओं,अपेक्षा
मज़ार,मजार
झोंकों,झोंका
विफलताओं,विफलता
छेड़ी,छेड़
वास्‍तव,वास्तव
"5,008",5008
बढ़ा,बढ़
दौरों,दौरा
खांमियों,खांमी
जलाना,जला
दोषियों,दोषी
उंगलियों,उंगली
पाठ्यक्रमों,पाठ्यक्रम
दिखे,दिख
दूरियों,दूरी
एकड़,एकड
राजदूतों,राजदूत
बनेगी,बन
निभाएगी,निभा
बुलानी,बुला
रुख़,रुख
घुमाता,घुमा
सब्जियों,सब्जी
चलना,चल
बढ़ाई,बढ़ा
कैथोलिक्स,कैथोलिक
सभाएं,सभा
हत्याएं,हत्या
पहाड़ों,पहाड़
जनश्रुतियाँ,जनश्रुति
सीढ़ियाँ,सीढ़ी
कारों,कार
बैठना,बैठ
कुबूलने,कुबूल
आतंकियों,आतंकी
डेज,डे
तोड़,तोड
रचते,रच
रखेगी,रख
खाड़ी,खाडी
स्कीमों,स्कीम
दोहराए,दोहरा
रिंग्स,रिंग
संस्थानों,संस्थान
जूझना,जूझ
देखने,देख
उठते,उठ
उड़ाना,उड़ा
कूदने,कूद
जाएगें,जा
पड़ती,पड़
बयानबाजियों,बयानबाजी
भूले,भूल
मंगाने,मंगा
स्‍थान,स्थान
हॉलों,हॉल
लपेटे,लपेट
मारा,मार
गेंदों,गेंद
सबको,सब
किसे,कौन
बेचे,बेच
हत्याओं,हत्या
बढ़ना,बढ
लिखवाया,लिखवा
मक़सद,मकसद
पोस्टरों,पोस्टर
लगाएंगी,लगा
भरी,भर
पुत्रियों,पुत्री
किताबों,किताब
बातें,बात
जरूरतों,जरूरत
उठाता,उठा
मंडराते,मंडरा
तड़पती,तडप
काटा,काट
बांधने,बांध
पिरोने,पिरो
सोचा,सोच
गुस्साए,गुस्सा
कसी,कस
खुलते,खुल
रोने,रो
उजड़े,उजड
खड़ा,खडा
कैरक्टरों,कैरक्टर
लेगा,ले
मापने,माप
बांधे,बांध
माँगने,माँग
समानताओं,समानता
उपजे,उपज
इलाक़े,इलाका
कमजोरियों,कमजोरी
ख़िलाफ़,खिलाफ
प्रेमियों,प्रेमी
उर्वरकों,उर्वरक
भूलकर,भूल
"१०,०००",१००००
प्रवृष्टियां,प्रवृष्टी
मिटाने,मिटा
चोटियों,चोटी
उभरने,उभर
छेड़ा,छेड
संभालेंगी,संभाल
चुनौतियों,चुनौती
सुरक्षाबलों,सुरक्षाबल
ठहराते,ठहरा
धमाकों,धमाका
व्हेकिल,व्हेकल
सूचनाओं,सूचना
गहनों,गहना
लाशें,लाश
अभियुक्तों,अभियुक्त
लेखकों,लेखक
अध्यापिकाओं,अध्यापिका
बनवाया,बनवा
गलियारों,गलियारा
मिली,मिल
जीने,जी
भाषाओं,भाषा
सेंसरों,सेंसर
विजेताओं,विजेता
किरणों,किरण
आने,आ
वायुयानों,वायुयान
चुनें,चुन
लपेटा,लपेट
रमज़ान,रमजान
मिलवाया,मिल
उलझने,उलझ
पिछड़,पिछड
लिखा,लिख
पन्नों,पन्ना
बिगड़ता,बिगड
रहूंगा,रह
दलीलों,दलील
भुनाने,भुना
जत्थेबंदियों,जत्थेबंदी
फैलते,फैल
अधिकारियों,अधिकारी
लपटों,लपट
माननी,मान
मनाएं,मना
गवाने,गवा
खोलें,खोल
मनोभावों,मनोभाव
कतराती,कतरा
गिरा,गिर
जानी,जान
जाएंगें,जा
पैसों,पैसा
देगी,दे
उपग्रहों,उपग्रह
बढ़ाएंगे,बढ़ा
विस्फ़ोटक,विस्फोटक
बदलें,बदल
बाँटने,बाँट
घंटियां,घंटी
पड़ता,पड
सचिवों,सचिव
रुकी,रुक
ढहने,ढह
"९३,३६९",९३३६९
"१५,०००",१५०००
रहना,रह
बुजुर्गो,बुजुर्ग
थानों,थाना
देखना,देख
महापुरुषों,महापुरुष
पढ़ाने,पढ़ा
उल्टियों,उल्टी
ब्लॉकों,ब्लॉक
पलटा,पलट
पहुंची,पहुंच
कमिश्नरों,कमिश्नर
छपकर,छाप
पाएंगीं,पा
हटाएंगे,हटा
दिखाकर,दिखा
खुलवाकर,खुलवा
उच्चायोगों,उच्चायोग
वर्गों,वर्ग
नरमपंथियों,नरमपंथी
हालात,हाल
प्रदर्शनकारियों,प्रदर्शनकारी
खुलवाया,खुलवा
कबूतरों,कबूतर
समझौतों,समझौता
रखते,रख
गुरुद्वारों,गुरुद्वारा
बिगड़ती,बिगड
घटेंगी,घट
ट्रेनें,ट्रेन
समुदायों,समुदाय
रखीं,रख
कारें,कार
चढ़ाया,चढ़ा
क्षमताओं,क्षमता
आरोपियों,आरोपी
रहस्यों,रहस्य
वायुसैनिकों,वायुसैनिक
डालकर,डाल
स्टैंडर्ड्स,स्टैंडर्ड्
प्रतिक्रियाएँ,प्रतिक्रिया
यातनाओं,यातना
अजनबियों,अजनबी
आँकड़ों,आँकड़ा
बतायी,बता
ठहराने,ठहरा
बताती,बता
जलाकर,जला
सरकारें,सरकार
लड़ना,लड़
परिवर्तनों,परिवर्तन
परिजनों,परिजन
शक्तिपीठों,शक्तिपीठ
द्वीपों,द्वीप
करेंगी,कर
सजा,सज
रखा,रख
आवश्यकता,आवशयकता
चलाईं,चला
बंदिशों,बंदिश
संस्थाएं,संस्था
गुत्थियों,गुत्थी
फेंकते,फेंक
कार्यो,कार्य
छिपता,छिप
"४,००,९६६",४००९६६
देखा,देख
गिने,गिन
"५४,०००",५४
पहुंचाएगा,पहुंचा
पहुंचा,पहुंच
लगाता,लगा
ढले,ढल
चौबीसों,चौबीस
खिलाना,खिला
हमारा,हम
खातों,खाता
मारे,मार
हिलाकर,हिला
दावों,दावा
ओरलैंडोंवासियों,ओरलैंडोंवासी
क़बूल,कबूल
डालेगी,डाल
मनाया,मना
आंतकवादियों,आंतकवादी
एअरलाइंस,एअरलाइन
उतरती,उतर
छात्राएं,छात्रा
दलालों,दलाल
ढूंढ़ते,ढूंढ़
चढ़ाते,चढ़ा
मचाया,मचा
क़ीमतों,कीमत
राज़ी,राजी
सर्किलों,सर्किल
समझाना,समझा
पार्टियां,पार्टी
स्तम्भ,स्तंभ
घटाकर,घटा
संभलकर,संभल
दुकानें,दुकान
सुधारनी,सुधार
ओवरों,ओवर
मेरी,मैं
महानिदेशकों,महानिदेशक
सबके,सब
कलाप्रेमियों,कलाप्रेमी
खिलाया,खिला
प्रयोगशालाओं,प्रयोगशाला
हिलते,हिल
सना,सन
विदेशों,विदेश
तपता,तप
बीती,बीत
पड़ी,पड
उतरना,उतर
दोहराया,दोहरा
समझिए,समझ
धड़धड़ाता,धड़धड़ा
मानवाधिकारों,मानवाधिकार
चलते,चल
घुसते,घुस
मापदंडों,मापदंड
अंग्रेजों,अंग्रेज
कहकर,कह
करेगें,कर
हराना,हरा
शब्दों,शब्द
ठहरी,ठहर
सुलझाए,सुलझा
हमारे,हम
बनानी,बना
इलाक़ों,इलाका
रहूँगा,रह
कहते,कह
दिलाने,दिला
"९,०००",९०००
मुसीबतों,मुसीबत
उठती,उठ
बरसते,बरस
गवाहों,गवाह
खदेड़ा,खदेड
बने,बन
आकांक्षाओं,आकांक्षा
साफ़,साफ
आँकड़ों,आँकडा
बोर्डो,बोर्ड
दीर्घाओं,दीर्घा
पेंगें,पेंग
बैंकों,बैंक
बरती,बरत
बिजलीघरों,बिजलीघर
पड़े,पड़
ठुकराते,ठुकरा
लड़ेगा,लड
प्रतिभाओं,प्रतिभा
मानकों,मानक
अपनाए,अपना
पकड़ा,पकड
आत्महत्याएँ,आत्महत्या
बंधने,बँध
ताकतों,ताकत
मंजिलें,मंजिला
ढलते,ढल
हफ्तों,हफ्ता
उछालने,उछाल
फैलाने,फैला
दावेदारों,दावेदार
स्टारों,स्टार
नहाने,नहा
निकाली,निकाल
धर्मस्थलों,धर्मस्थल
सूचियों,सूची
वारदातों,वारदात
आंकें,आंक
रहनी,रह
चप्‍पलों,चप्पल
लगती,लग
डिजाइनरों,डिजाइनर
पहुंचाता,पहुंचा
बढ़ने,बढ़
जमी,जम
दोहराई,दोहरा
बचाते,बचा
झुकना,झुक
कंटेनरों,कंटेनर
मिलाए,मिला
परीक्षणों,परीक्षण
किस्मों,किस्म
सुधरते,सुधर
उठे,उठ
श्रद्धालुओं,श्रद्धालु
पहचाना,पहचान
उम्मीदें,उम्मीद
सट्टेदारों,सट्टेदार
झाड़,झाड
स्थितियां,स्थिति
संभाले,संभाल
निकलता,निकल
इन्हीं,इन
पछाड़ते,पछाड
कहता,कह
लहरों,लहर
पहुँचाने,पहुँच
फेंककर,फेंक
हाथों,हाथ
कसा,कस
झेले,झेल
बुजुर्गों,बुजुर्ग
चुके,चुक
उड़ाया,उडा
तारों,तारा
"२,०००",२०००
पत्नियों,पत्नी
लौटना,लौट
घटाई,घटा
कोशिकाओं,कोशिका
मिला,मिल
पुराणों,पुराण
खिलवाड़,खिलवाड
आएगी,आ
करोड़,करोड
होने,हो
पहुंचेंगे,पहुंच
मशीनें,मशीन
जीतने,जीत
बिछुड़े,बिछुड
रसायनों,रसायन
लगाया,लग
माँगी,माँग
भराया,भरा
घूमना,घूम
खिंचवाए,खिँच
जेहादियों,जेहादी
नीतियां,नीति
लड़ा,लड
रोकता,रोक
पनपती,पनप
पहुँची,पहुंच
निबटाया,निबटा
करोड़ों,करोड
बरता,बरत
धब्बों,धब्बा
पुलों,पुल
जनसभाओं,जनसभा
मज़दूर,मजदूर
सुविधाएं,सुविधा
महलों,महल
रिपोर्टो,रिपोर्ट
ज़िला,जिला
प्रमुखों,प्रमुख
बड़ी,बडी
पुजारियों,पुजारी
लानी,ला
"२८,७३७",२८७३७
"२६,०००",२६
दोस्तों,दोस्त
बंधुओं,बंधु
अल्पसंख्यकों,अल्पसंख्यक
बजने,बज
उलटा,उलट
ढकी,ढक
गांववालों,गांववाला
मेजबानों,मेजबान
रिश्तेदारों,रिश्तेदार
सधी,सध
निष्कर्षों,निष्कर्ष
बुद्धिजीवियों,बुद्धिजीवी
भिक्षुओं,भिक्षु
कहेंगे,कह
देखी,देख
करवाना,कर
उछलती,उछल
बिठाया,बिठा
सुनते,सुन
भूलें,भूल
गिरती,गिर
वी.,वी
दर्श‍‍न,दर्श
अनियमितताएं,अनियमितता
समितियां,समिति
कार्यक्रमों,कार्यक्रम
दिखना,दिख
कड़े,कडा
तरफ़,तरफ
अख़बार,अखबार
जाएं,जा
अतिरिक्‍त,अतिरिक्त
खाकर,खा
टीमों,टीम
बरतने,बरत
पकड़े,पकड
बरतते,बरत
खोने,खो
"३०,०००",३००००
पक्षों,पक्ष
जिलों,जिला
पुलिसकर्मियों,पुलिसकर्मी
तड़प,तडप
आर.,आर
विस्फोटकों,विस्फोटक
करूंगी,कर
बढ़ेगा,बढ
चुराकर,चुरा
छलकाए,छलका
लॉकरों,लॉकर
सूखी,सूख
लाए,ला
इंजीनियर्स,इंजीनियर
बताईं,बता
गुटो,गुट
हिलाने,हिला
दृढ़ता,दृढता
निर्धारकों,निर्धारक
इकाइयों,इकाई
प्रोग्रामों,प्रोग्राम
जाओ,जा
उपविजेताओं,उपविजेता
डा.,डा
घुसकर,घुस
गुंबदों,गुंबद
गुरूओं,गुरू
ढेरियों,ढेरी
मतों,मत
सुधरे,सुधर
खुलने,खुल
करवाने,कर
पालने,पाल
चाही,चाह
सुनाई,सुना
अनुयायियों,अनुयायी
रत्नों,रत्न
दुआएं,दुआ
पाई,पा
महासमुंद,महासमंद
उगाया,उगा
बचने,बच
चलाई,चला
एयरलाइंसों,एयरलाइन
स्कूटर्स,स्कूटर
भड़काया,भडक
भूखंडों,भूखंड
वायरसों,वायरस
उखाड़,उखाड
धुनों,धुन
ज़रूर,जरूर
झटकने,झटक
चढ़कर,चढ़
उतराती,उतरा
जेलों,जेल
विशेषज्ञों,विशेषज्ञ
स्‍थापित,स्थापित
टालते,टाल
जानता,जान
आज़ादी,आजादी
प्राथमिकताओं,प्राथमिकता
पढ़ाई,पढ़ा
तटों,तट
शिकायतों,शिकायत
बढ़ता,बढ
दबावों,दबाव
व्यापारियों,व्यापारी
बुना,बुन
सिहरा,सिहर
सोचने,सोच
कड़ी,कडा
मांगा,मांग
वजहें,वजह
चलाते,चला
घुसे,घुस
मृतकों,मृतक
छोड़कर,छोड़
"८५,०००",८५०००
दवाईयाँ,दवाई
जेड्स,जेड
मच्छरों,मच्छर
कार्यकलापों,कार्यकलाप
तुक़,तुक
बेचकर,बेच
थोड़ी,थोडी
वस्तुएं,वस्तु
मानेंगे,मान
नेताओं,नेता
लिखना,लिख
खाद्यान्नों,खाद्यान्न
बढ़ते,बढ
सबसे,सब
बटालियनों,बटालियन
खिसकती,खिसक
बढ़ाना,बढ
कंकालों,कंकाल
जोड़कर,जोड़
दबे,दब
रेस्तरांओं,रेस्तरां
आएँ,आ
छपी,छप
घड़ी,घडी
वेश्याओं,वेश्या
इसी,इस
मुहाजिरों,मुहाजीर
व्यवस्थाएं,व्यवस्था
क्षत्राणियाँ,क्षत्राणी
मालिकों,मालिक
दिखाएं,दिखा
पहुंचाने,पहुंच
जाएंगे,जा
उवर्रकों,उवर्रक
बनाते,बना
हजारों,हजार
मैने,मै
बदलेंगे,बदल
"२०,०००",२०
कहे,कह
चुनेंगे,चुन
बदलकर,बदल
विनियमों,विनियम
संभालना,संभाल
अड़ा,अड़
संभावनाओं,संभावना
खींचता,खींच
बहनें,बहन
लाशों,लाश
बड़े,बडा
बचके,बच
ग्‍यारहवीं,ग्यारहवाँ
मानते,मान
बदमाशों,बदमाश
ज़रूरतों,ज़रूरत
होर्डिंग,होडॅग
हवेलियाँ,हवेली
समझें,समझ
लपके,लपक
सकता,सक
कस्में,कस्म
झगड़े,झगडा
पहुंचेंगी,पहुंच
दोषारोपों,दोषारोप
के.,के
रिकॉर्डों,रिकॉर्ड
चुकाई,चुका
खतरों,खतरा
मोड़,मोड
जिसे,जो
लड़ना,लड
बिखेरे,बिखेर
मुस्लमानों,मुस्लमान
लगते,लग
चेतावनियों,चेतावनी
बरछियों,बरछी
रोकना,रोक
रुका,रुक
पिछड़ने,पिछड
चंद्रमाओं,चंद्रमा
कैडेट्स,कैडेट
समितियों,समिति
निकलकर,निकल
बागों,बाग
लगेगी,लग
रुकेगी,रुक
यही,यह
"३२०,०००",३२००००
जमे,जम
पर्वतारोहियों,पर्वतारोही
इलाकों,इलाका
उबारने,उबार
रहा,रह
रोज़गार,रोजगार
जायज़ा,जायजा
बनाये,बना
एन.,एन
डेढ़,डेढ
मारकर,मार
सदियों,सदी
हटेगा,हट
जिसकी,जो
बांधा,बांध
गरीबों,गरीब
नजदीकियों,नजदीकी
उठता,उठ
भूलिएगा,भूल
दौड़,दौड
चूकेगी,चूक
मजूदरों,मजूदर
बिन्दु,बिंदु
"४,२९,०००",४२९०००
नियमों,नियम
खामियों,खामी
लिखवा,लिख
हवेलियों,हवेली
हड़तालें,हड़ताल
बढ़ाये,बढा
कब्रें,कब्र
युगलों,युगल
चलेगा,चल
खिलाते,खिला
गंवाए,गंवा
अर्जियों,अर्जी
लड़,लड
बंधी,बँध
भटकते,भटक
भीड़,भीड
कन्याओं,कन्या
घुमाने,घुमा
नक़वी,नकवी
खंगालना,खंगाल
क्रिकेटरों,क्रिकेटर
निर्दलियों,निर्दलिय
हुए,हो
निर्दलियों,निर्दलीय
भरने,भर
पीढ़ियों,पीढी
खेतों,खेत
बोलता,बोल
मतदाताओं,मतदाता
टाइगर्स,टाइगर
उखड़,उखड
"भविष्यवाणी,",भविष्यवाणी
बरते,बरत
उठा,उठ
छिड़,छिड
कश्मीरियों,कश्मीरी
मैंने,मैं
हत्यारों,हत्यारा
चीजों,चीज
चला,चल
शिक्षकों,शिक्षक
लौटाया,लौटा
घुसपैठियों,घुसपैठी
गड़बड़ियां,गड़बड़ी
उगाई,उगा
तोड़ने,तोड
किए,कर
हलफनामों,हलफनामा
ब्रजवासियों,ब्रजवासी
बैचों,बैच
निकलती,निकल
सकने,सक
इकाईयों,इकाई
हटाना,हटा
करना,कर
अपनाती,अपना
पुस्तकों,पुस्तक
सस्‍ता,सस्ता
हिन्दुत्व,हिंदुत्व
ढोना,ढो
हिला,हिल
कलाकारों,कलाकार
तुमने,तू
बढ़ाए,बढा
क़तर,कतर
बदला,बदल
दिग्गजों,दिग्गज
लिफाफों,लिफाफा
पत्नियां,पत्नी
करवाए,करवा
अमीरों,अमीर
नियुक्तियां,नियुक्ति
निकलने,निकल
बताना,बता
गाकर,गा
ढूंढ़ने,ढूंढ़
नवाज़,नवाज
झुकी,झुक
हमें,हम
पहुँचती,पहुँच
ऊंचाइयों,ऊंचाई
गुफाओं,गुफा
स्टीकरों,स्टीकर
उत्पादकों,उत्पादक
सजाए,सजा
झुकने,झुक
होगा,हो
धर्मशालाएँ,धर्मशाला
रोया,रो
विधान-सभा,विधानसभा
"३७,०००",३७०००
करोड़ों,करोड़
आते,आ
आवाजों,आवाज
सकतीं,सक
रातों,रात
बताओ,बता
चर्चाएं,चर्चा
खींचा,खींच
पड़ीं,पड़
पत्‍थरों,पत्थर
कारसेवकों,कारसेवक
अमेरिकियों,अमेरिकी
पुत्रों,पुत्र
बदलवाने,बदलवा
हताहतों,हताहत
खोलेंगे,खोल
घायलों,घायल
उतारने,उतार
हथियाने,हथिया
समझी,समझ
सिपाहियों,सिपाही
पायी,पा
संभागों,संभाग
पहुंचाना,पहुंचा
हफ़्ते,हफ्ता
मास्टरों,मास्टर
मछलियां,मछली
निकले,निकल
नौकरियों,नौकरी
नवाबों,नवाब
बनाएंगी,बना
हुईं,हो
प्रताड़ित,प्रताडित
बढ़ाने,बढ़ा
धरना,धर
गुत्थियां,गुत्थी
पड़ाव,पडाव
